User Input,Bot Response
Is there a fee to join Girls Who Code?,Membership in Girls Who Code is completely free of charge.
What activities are planned by Girls Who Code?,"We plan to create a chatbot similar to this one soon! There may also be guest speakers and participation in hackathons, though details are still being finalized."
Is previous coding experience required to join Girls Who Code?,No prior coding experience is necessary; we welcome members of all skill levels.
What is the frequency of Girls Who Code meetings?,Girls Who Code meets once a week.
What will I learn by participating in Girls Who Code?,"You will learn online safety, Python programming, AI development, web design, and much more."
Does Girls Who Code offer internship or scholarship opportunities?,"We can connect you with opportunities, but it’s up to you to apply and secure the position."
Is the club useful for college applications?,"Completing all the club projects can build a strong portfolio, showcasing your dedication to your major and assisting with college applications."
What are the criteria for running for the Girls Who Code board?,You’re eligible to run for the board if you attend at least half of the meetings each month.
How do I reach out to the leadership team of Girls Who Code?,"To get in touch with the club’s leadership, you can email us or send a message via Teams. The president’s email is 1041602@lwsd.org."
How was Girls Who Code founded?,"Girls Who Code was founded in 2012 by Reshma Saujani, who was inspired to create the organization during her campaign for the United States Congress after noticing a lack of female representation in computer science classrooms."
Is Girls Who Code collaborating with any other clubs?,We’re collaborating with the Design Club on a UI/UX design project.
Is there anything required before joining Girls Who Code?,You only need to be a current student at Redmond High School to join.
Which programming languages will be taught in Girls Who Code?,"We’ll start the year by teaching Python, but we might also explore JavaScript, CSS, HTML, and C#."
Does Girls Who Code provide any certifications or awards?,"No certifications are offered directly through the club, but participating in the summer program can earn you certificates in Web Development, Cybersecurity, and Data Science + AI at beginner or intermediate levels."
Can I work on real-world projects in Girls Who Code?,"Definitely. After each skill taught, we’ll work on a project, including a website portfolio and a chatbot like this one."
What should I do if I miss a Girls Who Code meeting?,All meeting materials will be shared on Teams.
Which hackathons does Girls Who Code join?,"Hackathon participation is optional, but the club can help form teams for those interested in events we announce."
Is it possible to suggest new events or workshops for Girls Who Code?,"Yes, you can propose new events or workshops by emailing the president and co-president with your ideas."
Where can I find Girls Who Code on social media?,Follow us on Instagram at @redmondgwc.
What do the board members of Girls Who Code do?,"The President and VP lead lessons and organize events, the Secretary tracks attendance and records meeting minutes, and the PR officer promotes the club and keeps everyone informed about events and updates."
Is there a way to give feedback to Girls Who Code?,"We’ll provide one at the first meeting, with more to come throughout the year."
What future plans does Girls Who Code have?,"This year, the club will complete more projects and explore additional topics compared to last year."
What sets Girls Who Code apart from other CS clubs?,"Each month, Girls Who Code hosts a Women in STEM presentation to inspire young girls and reduce feelings of isolation in a male-dominated field. This presentation is unique to GWC."
Is Girls Who Code open to boys?,"Despite the name, Girls Who Code is open to everyone."
What are the benefits of joining Girls Who Code for girls?,Many girls interested in computer science feel out of place in the male-dominated computer science clubs at this school. Girls Who Code provides a safe space where girls can connect with each other and feel comfortable while learning to code.
What is the current membership count of Girls Who Code?,Girls Who Code currently has over 70 members on Teams.
What is the process for electing board members in Girls Who Code?,Board members are elected through a popular vote.
Which grades are the board members of Girls Who Code in?,"Two of the board members are juniors, and the other two are sophomores."
What equipment is necessary for Girls Who Code members?,"All necessary equipment will be provided by the school. Since we are a computer science club, we’ll be using the PCs in Ms. Weber’s room."
How will Girls Who Code communicate with its members?,"We’ll notify members about events and meetings through Teams, Outlook, and Instagram."
Why is it important for girls to study computer science?,"Girls should consider computer science because the future is increasingly digital. Girls should customize this future to cater to themselves, not only men alone."
Which areas of computer science will be explored in Girls Who Code?,"This year, Girls Who Code will focus on video game design, web development, and artificial intelligence. We welcome suggestions for additional areas to explore!"
Is Girls Who Code an enjoyable experience?,"We’re making Girls Who Code fun by incorporating games and interactive programs, but what's fun depends on your interest in computer science."
Can you explain what Girls Who Code is?,"Girls Who Code (GWC) is a global nonprofit organization dedicated to reducing the gender gap in technology by empowering young women through coding education and community support. It offers after-school clubs, summer programs, and college-level initiatives that teach programming skills, web development, and other tech competencies. By fostering a supportive and inclusive environment, GWC aims to build confidence in girls and increase their participation in computer science, thereby addressing the gender imbalance in the tech industry and inspiring future female leaders."
What makes Girls Who Code worth joining?,"In Girls Who Code, you'll complete numerous projects that can strengthen your college applications. Additionally, the sisterhood within GWC will give you a sense of belonging in a male-dominated field, helping you develop teamwork skills and grow your passion for computer science alongside other girls."
Why does Girls Who Code focus on Python instead of Java?,"Python is a great language for beginners and ties in well with the AI and web development topics we’ll cover later in the year. For AP CS A students, re-learning Java in Girls Who Code would be redundant."
Does Girls Who Code provide help for AP CS A and CS P students?,"Our secretary, Emily, and PR officer, Stephanie, have both taken AP CS P, so feel free to reach out to them if you need help. The vice president, Amruta, and president, Grace, have both taken AP CS A. We’ll hold study sessions, share test-taking strategies, and provide study materials for both AP CS A and AP CS P a month before the AP exams."
Is Girls Who Code inclusive of non-binary individuals?,"The Girls Who Code website states, ""Girls Who Code is a nonprofit organization that offers coding programs, clubs, and events for girls and nonbinary students of all ages."" So yes, non-binary students are absolutely welcome to join."
What date is the first Girls Who Code meeting?,The first meeting will be held after the Club Jamboree on October 1.
How is GWC different from the other computer science clubs at the school?,Girls Who Code is the only CS club that aims to empower women. It is the only club with a sisterhood & where girls can feel like they belong.
What does GWC offer that other computer science clubs don't?,Girls Who Code presents on Women in STEM in hopes of inspiring young girls to follow in the footsteps of these pioneering engineers. This is unique to GWC.
